asvs_requirement,chapter,section,level,applicability,status,evidence,notes
v5.0.0-6.4.1,Authentication,Authentication Factor Lifecycle and Recovery,1,Not Applicable,Not Applicable,,"Journeyman does not issue initial user passwords or activation codes. The fallback administrator password is an explicitly generated break-glass credential, not an enrollment secret."
v5.0.0-6.4.2,Authentication,Authentication Factor Lifecycle and Recovery,1,Applicable,Automated,tests/security/test_authentication_controls.py::test_login_page_has_no_password_hint_or_knowledge_question_fields; docs/security/AUTHENTICATION.md,Journeyman exposes no password hints or knowledge-based authentication questions.
v5.0.0-6.4.3,Authentication,Authentication Factor Lifecycle and Recovery,2,Not Applicable,Not Applicable,,Journeyman has no forgotten-password reset mechanism; directory password recovery is external.
v5.0.0-6.4.4,Authentication,Authentication Factor Lifecycle and Recovery,2,Not Applicable,Not Applicable,,Journeyman does not enroll or recover application-owned MFA factors.
v5.0.0-6.4.5,Authentication,Authentication Factor Lifecycle and Recovery,3,Not Applicable,Not Applicable,,Journeyman does not issue expiring user authentication mechanisms.
v5.0.0-6.4.6,Authentication,Authentication Factor Lifecycle and Recovery,3,Not Applicable,Not Applicable,,Journeyman administrators cannot reset or choose Active Directory user passwords through Journeyman.
v5.0.0-6.5.1,Authentication,General Multi-factor authentication requirements,2,Not Applicable,Not Applicable,,"Journeyman does not implement lookup secrets, OOB authentication codes, or TOTP."
v5.0.0-6.5.2,Authentication,General Multi-factor authentication requirements,2,Not Applicable,Not Applicable,,Journeyman does not store lookup secrets or TOTP seeds for user authentication.
v5.0.0-6.5.3,Authentication,General Multi-factor authentication requirements,2,Not Applicable,Not Applicable,,"Journeyman does not generate lookup secrets, OOB authentication codes, or TOTP seeds for user authentication."
v5.0.0-6.5.4,Authentication,General Multi-factor authentication requirements,2,Not Applicable,Not Applicable,,Journeyman does not implement lookup-secret or OOB-code authentication.
v5.0.0-6.5.5,Authentication,General Multi-factor authentication requirements,2,Not Applicable,Not Applicable,,Journeyman does not implement OOB or TOTP authentication.
v5.0.0-6.5.6,Authentication,General Multi-factor authentication requirements,3,Not Applicable,Not Applicable,,Journeyman does not own end-user MFA factors; factor revocation belongs to the external identity platform.
v5.0.0-6.5.7,Authentication,General Multi-factor authentication requirements,3,Not Applicable,Not Applicable,,Journeyman does not implement biometric authentication.
v5.0.0-6.5.8,Authentication,General Multi-factor authentication requirements,3,Not Applicable,Not Applicable,,Journeyman does not implement TOTP authentication.
v5.0.0-6.6.1,Authentication,Out-of-Band authentication mechanisms,2,Not Applicable,Not Applicable,,Journeyman does not use PSTN/SMS OTP authentication.
v5.0.0-6.6.2,Authentication,Out-of-Band authentication mechanisms,2,Not Applicable,Not Applicable,,Journeyman does not implement out-of-band authentication requests/codes/tokens.
v5.0.0-6.6.3,Authentication,Out-of-Band authentication mechanisms,2,Not Applicable,Not Applicable,,Journeyman does not implement code-based out-of-band authentication.
v5.0.0-6.6.4,Authentication,Out-of-Band authentication mechanisms,3,Not Applicable,Not Applicable,,Journeyman does not use push notifications for authentication.
v5.0.0-6.7.1,Authentication,Cryptographic authentication mechanism,3,Not Applicable,Not Applicable,,Journeyman does not implement end-user cryptographic authentication assertions/certificates.
v5.0.0-6.7.2,Authentication,Cryptographic authentication mechanism,3,Not Applicable,Not Applicable,,Journeyman does not implement challenge-response cryptographic end-user authentication.
v5.0.0-6.8.1,Authentication,Authentication with an Identity Provider,2,Not Applicable,Not Applicable,,Journeyman does not accept federated authentication assertions from multiple identity providers; configured LDAPS servers are replicas/endpoints for the same directory authentication model.
v5.0.0-6.8.2,Authentication,Authentication with an Identity Provider,2,Not Applicable,Not Applicable,,"Journeyman does not consume JWT, SAML, OIDC, or other signed federated authentication assertions for interactive login."
v5.0.0-6.8.3,Authentication,Authentication with an Identity Provider,2,Not Applicable,Not Applicable,,Journeyman does not consume SAML assertions.
v5.0.0-6.8.4,Authentication,Authentication with an Identity Provider,2,Not Applicable,Not Applicable,,Journeyman does not consume federated IdP assertions containing authentication-strength/recentness claims; direct LDAP bind is assessed under the applicable general authentication controls.
v5.0.0-7.1.1,Session Management,Session Management Documentation,2,Applicable,Automated,tests/security/test_session_management_controls.py::test_absolute_session_lifetime_is_enforced_server_side; docs/security/SESSION_MANAGEMENT.md,Journeyman documents and enforces both the eight-hour sliding inactivity lifetime and an independent server-side absolute lifetime.
v5.0.0-7.1.2,Session Management,Session Management Documentation,2,Applicable,Manually Verified,docs/security/SESSION_MANAGEMENT.md,Concurrent browser sessions are currently unlimited; the documented behaviour is that no automatic action is taken when additional sessions are created.
v5.0.0-7.1.3,Session Management,Session Management Documentation,2,Not Applicable,Not Applicable,,Journeyman uses direct LDAP authentication and is not currently part of a federated SAML/OIDC browser-session ecosystem.
v5.0.0-7.2.1,Session Management,Fundamental Session Management Security,1,Applicable,Automated,tests/security/test_session_management_controls.py::test_tampered_session_cookie_does_not_authenticate,Flask verifies the signed self-contained browser session cookie on the trusted backend before the identity is loaded.
v5.0.0-7.2.2,Session Management,Fundamental Session Management Security,1,Applicable,Automated,tests/security/test_session_management_controls.py::test_login_replaces_pre_authentication_session_cookie,Interactive sessions use dynamically issued signed Flask session cookies rather than static API secrets or keys.
v5.0.0-7.2.3,Session Management,Fundamental Session Management Security,1,Not Applicable,Not Applicable,,"Journeyman interactive browser sessions use self-contained signed cookies, not server-side reference tokens."
v5.0.0-7.2.4,Session Management,Fundamental Session Management Security,1,Applicable,Automated,tests/security/test_session_management_controls.py::test_login_replaces_pre_authentication_session_cookie,Successful authentication clears pre-authentication session state and issues a different signed session value.
v5.0.0-7.3.1,Session Management,Session Timeout,2,Applicable,Automated,tests/security/test_session_management_controls.py::test_authenticated_session_uses_documented_sliding_inactivity_timeout,"Authenticated sessions are permanent Flask sessions with an 8-hour lifetime and per-request refresh, implementing the documented sliding inactivity timeout."
v5.0.0-7.3.2,Session Management,Session Timeout,2,Applicable,Automated,tests/security/test_session_management_controls.py::test_absolute_session_lifetime_is_enforced_server_side,The server-side authenticated-session registry expires continuously active sessions after the configured absolute lifetime.
v5.0.0-7.4.1,Session Management,Session Termination,1,Applicable,Automated,tests/security/test_session_management_controls.py::test_logout_revokes_copied_session_cookie_server_side,"Logout revokes the server-side session record, so a previously copied otherwise-valid signed cookie cannot be replayed."
v5.0.0-7.4.2,Session Management,Session Termination,1,Applicable,Automated,tests/security/test_directory_session_revalidation.py,LDAP-authenticated sessions are periodically revalidated against AD; disabled/deleted/replaced/unassigned users have their server-side session revoked.
v5.0.0-7.4.3,Session Management,Session Termination,2,Not Applicable,Not Applicable,,"Journeyman does not provide password, MFA, recovery-factor, email, or telephone change/removal workflows; authentication-factor lifecycle is owned by Active Directory."
v5.0.0-7.4.4,Session Management,Session Termination,2,Applicable,Automated,tests/security/test_session_management_controls.py::test_authenticated_pages_expose_visible_logout_control,The common authenticated application layout exposes a visible CSRF-protected Sign out control.
v5.0.0-7.4.5,Session Management,Session Termination,2,Applicable,Deferred,docs/security/SESSION_MANAGEMENT.md,Journeyman administrators do not currently have a facility to terminate active browser sessions for one user or all users.
v5.0.0-7.5.1,Session Management,Defenses Against Session Abuse,2,Not Applicable,Not Applicable,,"Journeyman does not expose user-editable email, phone, MFA, recovery, or other authentication/account-recovery attributes."
v5.0.0-7.5.2,Session Management,Defenses Against Session Abuse,2,Applicable,Deferred,docs/security/SESSION_MANAGEMENT.md,Users cannot currently view their active Journeyman sessions or re-authenticate to terminate individual/all sessions.
v5.0.0-7.5.3,Session Management,Defenses Against Session Abuse,3,Applicable,Deferred,docs/security/SESSION_MANAGEMENT.md,Journeyman does not currently require step-up re-authentication before highly sensitive operations; Package confirmations are not authentication factors.
v5.0.0-7.6.1,Session Management,Federated Re-authentication,2,Not Applicable,Not Applicable,,Journeyman is not currently a federated SAML/OIDC Relying Party with an external IdP browser session to coordinate.
v5.0.0-7.6.2,Session Management,Federated Re-authentication,2,Applicable,Automated,tests/security/test_session_management_controls.py::test_session_creation_requires_explicit_successful_login,An authenticated Journeyman browser session is created only after an explicit successful login POST; passive page visits do not create one.
v5.0.0-8.1.1,Authorization,Authorization Documentation,1,Applicable,Manually Verified,docs/security/AUTHORIZATION.md,Authorization documentation defines function-level and object/data-level rules.
v5.0.0-8.1.2,Authorization,Authorization Documentation,2,Applicable,Manually Verified,docs/security/AUTHORIZATION.md,"Authorization documentation defines field-level restrictions, including owner-only Credential secret reveal."
v5.0.0-8.1.3,Authorization,Authorization Documentation,3,Not Applicable,Not Applicable,,"Journeyman does not use environmental/contextual attributes such as time, location, IP address, or device posture in authentication or authorization decisions; this is explicitly documented in docs/security/AUTHORIZATION.md."
v5.0.0-8.1.4,Authorization,Authorization Documentation,3,Not Applicable,Not Applicable,,No environmental/contextual authorization factors are used by the current Journeyman authorization model; adaptive authorization is not implemented.
v5.0.0-8.2.1,Authorization,General Authorization Design,1,Applicable,Automated,tests/test_project_package_routes.py::test_package_administration_routes_remain_admin_only; tests/test_directory_access_control.py::test_non_admin_cannot_view_directory_pages; tests/test_runners.py::test_runners_page_is_admin_only,Function-level restrictions are enforced server-side on representative administrative surfaces.
v5.0.0-8.2.2,Authorization,General Authorization Design,1,Applicable,Automated,tests/test_project_package_routes.py (cross-user Job detail denial); tests/test_execution_slices.py::test_job_slice_output_route_blocks_unrelated_user; tests/test_execution_slices.py::test_job_step_output_route_blocks_unrelated_user; tests/security/test_authorization_controls.py::test_job_object_authorization_is_bound_to_requesting_subject,Job ownership checks prevent direct object access to another user's Job and output.
v5.0.0-8.2.3,Authorization,General Authorization Design,2,Applicable,Automated,tests/test_credential_reveal.py::test_non_owner_admin_cannot_reveal_secret; tests/test_credential_reveal.py::test_reveal_button_is_visible_only_to_owner; tests/security/test_authorization_controls.py::test_secret_reveal_is_field_level_owner_only_even_for_admin,Sensitive Credential fields have stricter authorization than the containing object.
v5.0.0-8.2.4,Authorization,General Authorization Design,3,Not Applicable,Not Applicable,,Journeyman currently makes no adaptive authorization decisions from environmental/contextual attributes.
v5.0.0-8.3.1,Authorization,Operation Level Authorization,1,Applicable,Automated,tests/test_project_package_routes.py::test_unauthorised_user_cannot_post_package_values; tests/test_project_package_routes.py::test_package_administration_routes_remain_admin_only; tests/test_execution_slices.py::test_job_slice_output_route_blocks_unrelated_user,Direct HTTP requests are denied by trusted server-side authorization; browser controls are not relied upon.
v5.0.0-8.3.2,Authorization,Operation Level Authorization,3,Applicable,Automated,tests/security/test_directory_session_revalidation.py::test_disabled_or_deleted_directory_user_revokes_active_session; tests/security/test_directory_session_revalidation.py::test_directory_revalidation_refreshes_role_and_group_snapshot,Active LDAP-authenticated sessions are periodically revalidated against Active Directory; disabled/deleted identities are revoked and changed role/group membership is refreshed server-side.
v5.0.0-8.3.3,Authorization,Operation Level Authorization,3,Applicable,Automated,tests/test_runners.py::test_remote_runner_does_not_claim_mismatched_job; tests/test_runners.py::test_remote_runner_lifecycle_rejects_wrong_dispatch_token; tests/test_runners.py::test_remote_runner_artifact_rejects_wrong_runner_or_token; docs/security/AUTHORIZATION.md,"Delegated runner access is constrained to centrally authorized, assigned Jobs and cannot use the runner service identity to select arbitrary user work."
v5.0.0-8.4.1,Authorization,Other Authorization Considerations,2,Not Applicable,Not Applicable,,Journeyman is not currently a multi-tenant application and has no tenant security boundary.
v5.0.0-8.4.2,Authorization,Other Authorization Considerations,3,Applicable,Deferred,docs/security/AUTHORIZATION.md,"Administrative routes have server-side role checks, but ASVS L3 continuous identity verification, device posture assessment, and contextual risk analysis are not implemented."
v5.0.0-9.1.1,Self-contained Tokens,Token source and integrity,1,Applicable,Automated,tests/security/test_session_management_controls.py::test_tampered_session_cookie_does_not_authenticate,Flask verifies the signed session cookie before accepting its contents; tampered signatures do not authenticate.
v5.0.0-9.1.2,Self-contained Tokens,Token source and integrity,1,Applicable,Manually Verified,docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md,Flask selects the session signing mechanism server-side; the cookie cannot negotiate an algorithm and does not carry a None-style algorithm selector.
v5.0.0-9.1.3,Self-contained Tokens,Token source and integrity,1,Applicable,Manually Verified,docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md,The verifier key comes from the preconfigured Journeyman SECRET_KEY; Flask session cookies do not provide attacker-selected key discovery URLs or embedded verifier keys.
v5.0.0-9.2.1,Self-contained Tokens,Token content,1,Applicable,Automated,tests/security/test_session_management_controls.py::test_authenticated_session_uses_documented_sliding_inactivity_timeout,Permanent Flask sessions are timestamped and validated against Journeyman's configured eight-hour session lifetime.
v5.0.0-9.2.2,Self-contained Tokens,Token content,2,Applicable,Manually Verified,docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md,The browser authentication path consumes the Flask session cookie only as a Journeyman browser session; Journeyman has no generic token-type dispatch which reinterprets other token classes as sessions.
v5.0.0-9.2.3,Self-contained Tokens,Token content,2,Applicable,Deferred,,Flask signed session cookies do not contain an explicit audience claim. A deployment-specific secret and __Host-journeyman_session cookie scope reduce cross-context reuse but do not provide cryptographic audience validation.
v5.0.0-9.2.4,Self-contained Tokens,Token content,2,Not Applicable,Not Applicable,,Journeyman requires a deployment-specific Flask session signing secret and does not intentionally use that same signing key to issue self-contained tokens for multiple audiences.
v5.0.0-10.1.1,OAuth and OIDC,Generic OAuth and OIDC Security,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.1.2,OAuth and OIDC,Generic OAuth and OIDC Security,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.2.1,OAuth and OIDC,OAuth Client,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.2.2,OAuth and OIDC,OAuth Client,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.2.3,OAuth and OIDC,OAuth Client,3,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.3.1,OAuth and OIDC,OAuth Resource Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.3.2,OAuth and OIDC,OAuth Resource Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.3.3,OAuth and OIDC,OAuth Resource Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.3.4,OAuth and OIDC,OAuth Resource Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.3.5,OAuth and OIDC,OAuth Resource Server,3,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.1,OAuth and OIDC,OAuth Authorization Server,1,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.2,OAuth and OIDC,OAuth Authorization Server,1,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.3,OAuth and OIDC,OAuth Authorization Server,1,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.4,OAuth and OIDC,OAuth Authorization Server,1,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.5,OAuth and OIDC,OAuth Authorization Server,1,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.6,OAuth and OIDC,OAuth Authorization Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.7,OAuth and OIDC,OAuth Authorization Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.8,OAuth and OIDC,OAuth Authorization Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.9,OAuth and OIDC,OAuth Authorization Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.10,OAuth and OIDC,OAuth Authorization Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.11,OAuth and OIDC,OAuth Authorization Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.12,OAuth and OIDC,OAuth Authorization Server,3,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.13,OAuth and OIDC,OAuth Authorization Server,3,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.14,OAuth and OIDC,OAuth Authorization Server,3,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.15,OAuth and OIDC,OAuth Authorization Server,3,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.4.16,OAuth and OIDC,OAuth Authorization Server,3,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.5.1,OAuth and OIDC,OIDC Client,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.5.2,OAuth and OIDC,OIDC Client,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.5.3,OAuth and OIDC,OIDC Client,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.5.4,OAuth and OIDC,OIDC Client,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.5.5,OAuth and OIDC,OIDC Client,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.6.1,OAuth and OIDC,OpenID Provider,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.6.2,OAuth and OIDC,OpenID Provider,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.7.1,OAuth and OIDC,Consent Management,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.7.2,OAuth and OIDC,Consent Management,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-10.7.3,OAuth and OIDC,Consent Management,2,Not Applicable,Not Applicable,,"Journeyman does not implement OAuth 2.x or OpenID Connect as a client, resource server, authorization server, relying party, OpenID Provider, or consent service; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-11.1.1,Cryptography,Cryptographic Inventory and Documentation,2,Applicable,Manually Verified,docs/security/CREDENTIAL_KEY_LIFECYCLE.md,"Credential key lifecycle, cryptoperiod, protected backup, routine rotation, emergency replacement, and old-key retirement requirements are documented."
v5.0.0-11.1.2,Cryptography,Cryptographic Inventory and Documentation,2,Applicable,Manually Verified,docs/security/CRYPTOGRAPHY.md,"Cryptographic inventory documents application keys, algorithms, purposes, storage and use boundaries."
v5.0.0-11.1.3,Cryptography,Cryptographic Inventory and Documentation,3,Applicable,Deferred,,Journeyman has source-review tests for selected primitives but does not yet employ a complete cryptographic discovery mechanism across application and deployment dependencies.
v5.0.0-11.1.4,Cryptography,Cryptographic Inventory and Documentation,3,Applicable,Deferred,,"The inventory records review triggers, but a detailed post-quantum migration plan and replacement schedule are not yet defined."
v5.0.0-11.2.1,Cryptography,Secure Cryptography Implementation,2,Applicable,Manually Verified,docs/security/CRYPTOGRAPHY.md,"Cryptographic operations use maintained cryptography, Flask/itsdangerous and Werkzeug implementations rather than application-defined algorithms."
v5.0.0-11.2.2,Cryptography,Secure Cryptography Implementation,2,Applicable,Automated,tests/security/test_credential_key_rotation.py,Stored credentials and job snapshots record key IDs; versioned keys remain decryptable during controlled transactional re-encryption.
v5.0.0-11.2.3,Cryptography,Secure Cryptography Implementation,2,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_remote_execution_envelope_uses_authenticated_aes_256_gcm; tests/security/test_cryptography_data_protection_controls.py::test_runner_bootstrap_secrets_are_random_and_only_digests_are_stored,AES-256-GCM remote envelopes and high-entropy runner secrets meet or exceed the 128-bit security target; Fernet provides 128-bit symmetric security.
v5.0.0-11.2.4,Cryptography,Secure Cryptography Implementation,3,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_dispatch_secret_comparisons_use_constant_time_comparison,Runner API authentication and dispatch assignment secret checks use constant-time digest comparison at the request boundary; underlying cryptographic primitives are delegated to maintained libraries.
v5.0.0-11.2.5,Cryptography,Secure Cryptography Implementation,3,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_credential_ciphertext_is_authenticated_and_contains_no_plaintext; tests/security/test_cryptography_data_protection_controls.py::test_remote_execution_envelope_uses_authenticated_aes_256_gcm,Tampered authenticated ciphertext fails closed without returning plaintext.
v5.0.0-11.3.1,Cryptography,Encryption Algorithms,1,Applicable,Manually Verified,docs/security/CRYPTOGRAPHY.md,Journeyman does not implement ECB or PKCS#1 v1.5 encryption. Stored secrets use Fernet authenticated encryption; remote envelopes use AES-GCM.
v5.0.0-11.3.2,Cryptography,Encryption Algorithms,1,Applicable,Manually Verified,docs/security/CRYPTOGRAPHY.md,Application-managed encryption uses Fernet authenticated encryption for stored payloads and AES-256-GCM for remote execution envelopes.
v5.0.0-11.3.3,Cryptography,Encryption Algorithms,2,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_credential_ciphertext_is_authenticated_and_contains_no_plaintext; tests/security/test_cryptography_data_protection_controls.py::test_remote_execution_envelope_uses_authenticated_aes_256_gcm,Both retained credential payloads and remote execution envelopes are authenticated against modification.
v5.0.0-11.3.4,Cryptography,Encryption Algorithms,3,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_remote_execution_envelopes_use_fresh_salt_and_nonce,Remote envelopes generate fresh random salt and AES-GCM nonce for every encryption; Fernet nonce/IV generation is delegated to the library.
v5.0.0-11.3.5,Cryptography,Encryption Algorithms,3,Applicable,Manually Verified,docs/security/CRYPTOGRAPHY.md,"Where encryption and authentication are combined, Journeyman relies on authenticated-encryption constructions provided by maintained libraries rather than composing a custom MAC scheme."
v5.0.0-11.4.1,Cryptography,Hashing and Hash-based Functions,1,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_remote_execution_envelope_uses_authenticated_aes_256_gcm; tests/security/test_cryptography_data_protection_controls.py::test_runner_bootstrap_secrets_are_random_and_only_digests_are_stored,Journeyman security-sensitive hashing/KDF paths use SHA-256/HKDF-SHA256 or scrypt; no MD5/SHA-1 cryptographic path is used by these controls.
v5.0.0-11.4.2,Cryptography,Hashing and Hash-based Functions,2,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_fallback_admin_cli_uses_scrypt_password_hashing,The locally managed fallback administrator password is stored using Werkzeug scrypt; normal user passwords are verified by Active Directory and are not stored by Journeyman.
